iter	Passed	Remaining
0	179	179114
1	226	113084
2	253	84313
3	283	70484
4	311	61896
5	339	56280
6	363	51627
7	386	47898
8	407	44909
9	428	42398
10	451	40601
11	474	39036
12	496	37728
13	518	36509
14	541	35541
15	565	34798
16	595	34419
17	618	33758
18	640	33071
19	666	32656
20	686	31991
21	702	31246
22	725	30820
23	745	30327
24	765	29861
25	782	29317
26	798	28762
27	816	28345
28	834	27937
29	851	27532
30	868	27159
31	884	26762
32	901	26421
33	918	26102
34	935	25781
35	952	25492
36	968	25218
37	984	24935
38	1001	24676
39	1017	24418
40	1033	24182
41	1051	23985
42	1071	23840
43	1088	23646
44	1105	23455
45	1121	23253
46	1136	23053
47	1154	22902
48	1175	22809
49	1191	22634
50	1209	22501
51	1224	22331
52	1241	22176
53	1256	22015
54	1272	21866
55	1288	21717
56	1304	21585
57	1318	21421
58	1335	21297
59	1350	21162
60	1366	21035
61	1383	20925
62	1400	20822
63	1421	20782
64	1438	20692
65	1454	20583
66	1470	20480
67	1487	20392
68	1504	20295
69	1520	20201
70	1534	20080
71	1551	20001
72	1567	19910
73	1588	19874
74	1605	19799
75	1621	19714
76	1636	19621
77	1654	19561
78	1670	19479
79	1686	19395
80	1705	19344
81	1722	19283
82	1735	19175
83	1750	19084
84	1765	19002
85	1781	18934
86	1794	18829
87	1810	18763
88	1828	18712
89	1845	18659
90	1857	18554
91	1871	18475
92	1886	18398
93	1906	18377
94	1928	18368
95	1947	18335
96	1961	18260
97	1978	18214
98	1996	18169
99	2015	18135
100	2032	18088
101	2048	18037
102	2063	17970
103	2079	17919
104	2096	17870
105	2113	17828
106	2131	17789
107	2146	17727
108	2168	17723
109	2188	17704
110	2205	17667
111	2224	17634
112	2244	17616
113	2258	17554
114	2274	17506
115	2295	17494
116	2316	17480
117	2333	17443
118	2355	17438
119	2373	17402
120	2392	17378
121	2416	17388
122	2435	17367
123	2453	17334
124	2469	17288
125	2485	17243
126	2503	17209
127	2519	17167
128	2536	17127
129	2551	17075
130	2569	17048
131	2584	16997
132	2602	16965
133	2619	16928
134	2636	16892
135	2654	16862
136	2670	16822
137	2686	16778
138	2710	16786
139	2753	16917
140	2797	17045
141	2839	17156
142	2877	17244
143	2907	17281
144	2929	17271
145	2943	17220
146	2960	17177
147	2976	17136
148	2992	17094
149	3014	17080
150	3036	17072
151	3055	17046
152	3075	17026
153	3097	17014
154	3113	16975
155	3135	16965
156	3151	16922
157	3166	16876
158	3183	16837
159	3205	16827
160	3218	16773
161	3235	16739
162	3255	16714
163	3269	16666
164	3281	16607
165	3317	16665
166	3347	16699
167	3371	16696
168	3395	16694
169	3421	16704
170	3440	16679
171	3458	16649
172	3476	16617
173	3491	16576
174	3507	16535
175	3523	16494
176	3538	16455
177	3555	16418
178	3571	16382
179	3594	16374
180	3612	16344
181	3629	16311
182	3645	16277
183	3659	16226
184	3671	16175
185	3686	16133
186	3700	16089
187	3712	16036
188	3725	15985
189	3737	15934
190	3752	15894
191	3765	15848
192	3777	15795
193	3789	15746
194	3803	15702
195	3816	15656
196	3828	15605
197	3840	15556
198	3852	15506
199	3864	15459
200	3877	15411
201	3889	15367
202	3901	15318
203	3913	15270
204	3925	15223
205	3937	15177
206	3949	15130
207	3961	15084
208	3973	15039
209	3985	14993
210	4000	14958
211	4013	14918
212	4025	14872
213	4036	14827
214	4048	14782
215	4060	14739
216	4073	14697
217	4084	14653
218	4097	14611
219	4108	14567
220	4120	14525
221	4132	14482
222	4144	14441
223	4156	14399
224	4168	14357
225	4180	14316
226	4193	14279
227	4205	14240
228	4217	14199
229	4229	14158
230	4240	14117
231	4252	14077
232	4264	14038
233	4277	14002
234	4289	13963
235	4301	13924
236	4314	13888
237	4326	13852
238	4338	13813
239	4349	13774
240	4361	13736
241	4373	13698
242	4385	13661
243	4399	13629
244	4410	13592
245	4422	13556
246	4434	13519
247	4446	13482
248	4457	13445
249	4469	13409
250	4481	13373
251	4493	13338
252	4505	13302
253	4517	13267
254	4529	13233
255	4541	13198
256	4553	13163
257	4565	13128
258	4577	13094
259	4589	13061
260	4600	13026
261	4612	12992
262	4624	12959
263	4637	12928
264	4648	12894
265	4660	12860
266	4672	12828
267	4686	12800
268	4700	12773
269	4713	12743
270	4725	12712
271	4738	12683
272	4751	12652
273	4763	12622
274	4778	12597
275	4791	12569
276	4805	12543
277	4818	12513
278	4829	12481
279	4842	12451
280	4855	12423
281	4868	12394
282	4880	12364
283	4892	12335
284	4905	12306
285	4919	12280
286	4930	12249
287	4942	12219
288	4954	12189
289	4967	12161
290	4979	12131
291	4993	12107
292	5005	12078
293	5018	12050
294	5030	12021
295	5042	11992
296	5054	11963
297	5066	11935
298	5078	11906
299	5090	11877
300	5102	11849
301	5114	11821
302	5126	11792
303	5138	11764
304	5150	11736
305	5162	11708
306	5176	11684
307	5191	11663
308	5204	11639
309	5216	11611
310	5228	11584
311	5241	11557
312	5253	11530
313	5265	11502
314	5278	11477
315	5290	11450
316	5302	11424
317	5315	11400
318	5327	11373
319	5339	11347
320	5351	11320
321	5363	11293
322	5376	11268
323	5387	11241
324	5399	11215
325	5412	11189
326	5423	11162
327	5435	11136
328	5448	11112
329	5460	11086
330	5472	11060
331	5484	11035
332	5497	11011
333	5509	10985
334	5521	10959
335	5532	10933
336	5544	10908
337	5556	10883
338	5571	10862
339	5583	10837
340	5594	10812
341	5606	10786
342	5618	10762
343	5630	10737
344	5642	10712
345	5654	10687
346	5665	10662
347	5677	10637
348	5689	10612
349	5703	10591
350	5715	10568
351	5727	10543
352	5740	10520
353	5751	10496
354	5763	10471
355	5775	10447
356	5786	10422
357	5798	10398
358	5811	10376
359	5823	10352
360	5834	10327
361	5846	10303
362	5858	10281
363	5871	10259
364	5884	10237
365	5896	10213
366	5908	10190
367	5920	10167
368	5931	10143
369	5943	10120
370	5957	10100
371	5969	10077
372	5981	10054
373	5992	10031
374	6004	10007
375	6016	9985
376	6028	9962
377	6040	9939
378	6051	9916
379	6063	9893
380	6075	9870
381	6087	9848
382	6100	9827
383	6112	9804
384	6123	9782
385	6135	9760
386	6147	9737
387	6159	9715
388	6170	9692
389	6182	9669
390	6194	9647
391	6206	9626
392	6219	9605
393	6231	9583
394	6242	9561
395	6254	9539
396	6266	9517
397	6278	9497
398	6290	9475
399	6303	9455
400	6316	9434
401	6328	9413
402	6339	9391
403	6354	9373
404	6366	9353
405	6379	9332
